what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1340844828841
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1340844828842
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1340844828878
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1340844828879
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1340844828879
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1340844828879
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1340844828880
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1340844828881
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1340844828891
started,bundle,org.eclipse.mylyn.compatibility,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.compatibility,1340844828892
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1340844828894
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1340844828911
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,org.eclipse.mylyn.bugzilla.core,1340844828912
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,org.eclipse.mylyn.bugzilla.ui,1340844828913
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,org.eclipse.mylyn.commons.net,1340844828913
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,org.eclipse.mylyn.commons.ui,1340844828914
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,org.eclipse.mylyn.context.core,1340844828915
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,org.eclipse.mylyn.context.ui,1340844828922
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,org.eclipse.mylyn.monitor.ui,1340844828923
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,org.eclipse.mylyn.tasks.ui,1340844828924
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,org.eclipse.mylyn.team.ui,1340844828925
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110318-1700,org.eclipse.team.svn.core,1340844828926
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,org.eclipse.team.svn.mylyn,1340844828928
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110318-1700,org.eclipse.team.svn.ui,1340844828930
started,bundle,org.polarion.eclipse.team.svn.connector.javahl15,2.2.2.I20110318-1700,org.polarion.eclipse.team.svn.connector.javahl15,1340844828930
