Id	State	Population	GSP
0	unknown	0	0
1	California	38332521	2287021
2	Tennessee	6495978	296602
3	New Mexico	2085287	95310
15	Georgia	9992167	472423
27	Indiana	6570902	328212
40	Oregon	3930065	229241
55	North Dakota	723393	62772
65	New Hampshire	1323459	70118
79	New York	19651127	1350286
80	Hawaii	1404054	78110
94	Vermont	626630	30723
106	Maryland	5928814	351234
124	Massachusetts	6692824	462748
134	Virginia	8260405	464606
146	Maine	1328302	56163
164	Iowa	3090416	175465
183	Michigan	9895622	449218
201	Colorado	5268367	309721
216	South Dakota	844877	49142
238	West Virginia	1854304	78050
253	Arizona	6626624	288924
275	Mississippi	2991207	109179
276	Connecticut	3596080	258996
298	Kentucky	4395295	227018
308	Oklahoma	3850568	192176
325	Alabama	4833722	199727
333	Ohio	11570808	584696
344	Rhode Island	1051511	45962
359	Kansas	2893957	149153
368	Texas	26448193	1602584
374	Nebraska	1868516	115250
393	Arkansas	2959373	129745
394	Montana	1015165	45846
395	Minnesota	5420380	326125
396	Florida	19552860	833511
397	New Jersey	8899339	560667
398	Idaho	1612136	66548
399	Washington	6971406	425017
400	Nevada	2790136	136903
401	Illinois	12882135	742407
402	Delaware	925749	65029
403	North Carolina	9848060	491572
404	Alaska	735132	60542
405	Louisiana	4625470	257008
406	South Carolina	4774839	174512
407	Wisconsin	5742713	293126
408	Pennsylvania	12773801	664872
409	Missouri	6044171	285135
410	Utah	2900872	148017
411	Wyoming	582658	48538
